Country,Total,"New York-Newark-Jersey City, NY-NJ-PA","Los Angeles-Long Beach-Anaheim, CA","Miami-Fort Lauderdale-Pompano Beach, FL","San Francisco-Oakland-Berkeley, CA","Houston-The Woodlands-Sugar Land, TX","Chicago-Naperville-Elgin, IL-IN-WI","Washington-Arlington-Alexandria, DC-VA-MD-WV","Dallas-Fort Worth-Arlington, TX","Boston-Cambridge-Newton, MA-NH","Seattle-Tacoma-Bellevue, WA","San Jose-Sunnyvale-Santa Clara, CA","Atlanta-Sandy Springs-Alpharetta, GA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","Detroit-Warren-Dearborn, MI","Phoenix-Mesa-Chandler, AZ","San Diego-Chula Vista-Carlsbad, CA","Riverside-San Bernardino-Ontario, CA","Orlando-Kissimmee-Sanford, FL","Minneapolis-Saint Paul-Bloomington, MN-WI","Sacramento-Roseville-Folsom, CA","Austin-Round Rock-Georgetown, TX","Denver-Aurora-Lakewood, CO","Tampa-Saint Petersburg-Clearwater, FL","Las Vegas-Henderson-Paradise, NV","Portland-Vancouver-Hillsboro, OR-WA","Baltimore-Columbia-Towson, MD","San Antonio-New Braunfels, TX","Charlotte-Concord-Gastonia, NC-SC","Columbus, OH","Raleigh-Cary, NC","Indianapolis-Carmel-Anderson, IN","Nashville-Davidson--Murfreesboro--Franklin, TN","Kansas City, MO-KS","Salt Lake City, UT","Bridgeport-Stamford-Norwalk, CT","Providence-Warwick, RI-MA","Saint Louis, MO-IL","Cincinnati, OH-KY-IN","Cleveland-Elyria, OH","Hartford-East Hartford-Middletown, CT","El Paso, TX","McAllen-Edinburg-Mission, TX","Stockton, CA","Jacksonville, FL","Worcester, MA-CT","Pittsburgh, PA","Urban Honolulu, HI","Milwaukee-Waukesha, WI","Louisville/Jefferson County, KY-IN","Fresno, CA",NAME_LONG,ISO_A3
Brunei,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brunei,BRN
Bulgaria,"1,118",106,33,50,38,14,196,34,9,38,20,20,32,15,10,19,19,,9,3.0,13,8,19,23,32,8.0,13.0,4,4.0,4.0,,3.0,,,6.0,3.0,6.0,13.0,3.0,,,,,,4.0,,,5.0,4.0,,,Bulgaria,BGR
Burkina Faso,465,214,3,,,24,7,19,4,3,15,,7,27,,,,,,,,,7,,,,4.0,,,7.0,,4.0,4.0,3.0,3.0,,,,12.0,5.0,,,,,,,,,,,,Burkina Faso,BFA
Burma,"4,000",122,117,12,237,98,191,32,196,21,52,21,186,18,4,64,10,,5,183.0,4,17,48,13,5,65.0,44.0,26,64.0,21.0,10.0,311.0,42.0,61.0,32.0,6.0,,5.0,10.0,,3.0,,,13.0,29.0,4.0,13.0,3.0,221.0,26.0,5.0,Burma,MMR
Burundi,"1,099",5,,,,17,,10,87,6,13,,25,6,,61,9,,,27.0,,14,9,13,,3.0,16.0,23,,10.0,14.0,15.0,13.0,14.0,32.0,,19.0,,18.0,13.0,7.0,,,,,,9.0,,,26.0,,Burundi,BDI
Cabo Verde,995,8,,3,,,,,,630,,,,,,,,,,,,,,,,,,,,,,,,,,,289.0,,,,,,,,,,,,,,,Cabo Verde,CIV
Cambodia,"1,593",29,232,3,32,44,17,54,21,177,114,36,49,58,,16,26,52,4,63.0,11,9,8,3,10,19.0,,13,20.0,10.0,3.0,3.0,,6.0,14.0,4.0,27.0,4.0,11.0,,3.0,,,23.0,5.0,9.0,,,,8.0,9.0,Cambodia,KHM
Cameroon,"2,842",105,49,5,27,141,60,766,114,76,25,17,143,49,37,45,7,6,5,134.0,,33,12,11,12,15.0,128.0,16,31.0,94.0,4.0,27.0,6.0,23.0,8.0,3.0,9.0,8.0,23.0,10.0,3.0,,5,,6.0,21.0,5.0,,10.0,5.0,,Cameroon,CMR
Canada,"9,526",931,599,313,594,392,257,147,234,285,553,327,147,105,231,218,120,85,111,96.0,56,83,112,87,75,91.0,36.0,30,73.0,56.0,66.0,29.0,80.0,40.0,44.0,34.0,25.0,65.0,42.0,45.0,24.0,,,11.0,37.0,11.0,70.0,26.0,23.0,19.0,13.0,Canada,CAN
Cayman Islands,50,4,5,12,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,Cayman Islands,CYM
Central African Republic,148,4,,,,3,7,9,6,,6,,11,3,,,3,,,,,,5,,,4.0,,,,,,,,,11.0,,,,,3.0,,,,,3.0,4.0,,,,,,Central African Republic,CAF
Chad,111,9,,,,3,,4,5,,4,,4,,,,7,,,,,,,,,,3.0,,,3.0,,,,,5.0,,,,,,,,,,3.0,3.0,,,,,,Chad,TCD
Chile,"1,520",148,64,257,40,42,41,44,33,44,51,24,31,37,,15,12,10,18,13.0,6,9,18,7,19,7.0,16.0,6,13.0,,16.0,4.0,10.0,9.0,35.0,11.0,,,,3.0,5.0,,7,,,5.0,5.0,4.0,3.0,3.0,,Chile,CHL
