Country,Total,"New York-Northern New Jersey-Long Island, NY-NJ-PA","Los Angeles-Long Beach-Santa Ana, CA","Miami-Fort Lauderdale-Pompano Beach, FL","Washington-Arlington-Alexandria, DC-VA-MD-WV","Chicago-Naperville-Joliet, IL-IN-WI","San Francisco-Oakland-Fremont, CA","Houston-Sugar Land-Baytown, TX","Dallas-Fort Worth-Arlington, TX","Boston-Cambridge-Quincy, MA-NH","Atlanta-Sandy Springs-Marietta, GA","San Diego-Carlsbad-San Marcos, CA","Seattle-Tacoma-Bellevue, WA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","San Jose-Sunnyvale-Santa Clara, CA","Riverside-San Bernardino-Ontario, CA","Minneapolis-St. Paul-Bloomington, MN-WI","Phoenix-Mesa-Scottsdale, AZ","Detroit-Warren-Livonia, MI","Orlando-Kissimmee, FL","Las Vegas-Paradise, NV","Tampa-St. Petersburg-Clearwater, FL","Sacramento--Arden-Arcade-Roseville, CA","Denver-Aurora-Broomfield, CO","Baltimore-Towson, MD","Portland-Vancouver-Beaverton, OR-WA","Columbus, OH","Austin-Round Rock, TX","Bridgeport-Stamford-Norwalk, CT","Providence-New Bedford-Fall River, RI-MA","Honolulu, HI","San Antonio, TX","Charlotte-Gastonia-Concord, NC-SC","El Paso, TX","Nashville-Davidson-Murfreesboro-Franklin, TN","Salt Lake City, UT","Hartford-West Hartford-East Hartford, CT","Indianapolis-Carmel, IN","Raleigh-Cary, NC","Kansas City, MO-KS","Saint Louis, MO-IL","San Juan-Caguas-Guaynabo, PR","Jacksonville, FL","Tucson, AZ","Fresno, CA","Oxnard-Thousand Oaks-Ventura, CA","Stockton, CA","Bakersfield, CA","Worcester, MA","McAllen-Edinburg-Mission, TX","Cleveland-Elyria-Mentor, OH",NAME_LONG,ISO_A3
Grenada,748,533,8,21,28,,,14,11,,13,3,,5,3,,,,,6,,6,,,9.0,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,Grenada,GRD
Guatemala,"12,187",964,"2,801",525,595,455,568,307,211,339,214,121,86,74,80,372,53,170,18,56,148,47,54,52,56.0,125,7,34,150.0,275,3,40,32.0,7,43.0,41.0,13.0,21.0,35.0,54.0,17.0,10,12.0,13,26,65,16,51,19.0,6,27.0,Guatemala,GTM
Guinea,"1,725",768,10,5,128,20,11,25,27,31,120,,22,78,,,52,3,9,,4,,,22,15.0,,58,,,31,,,5.0,,,,,38.0,4.0,8.0,3.0,,6.0,,,,,,3.0,,,Guinea,GIN
Guinea-Bissau,20,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,Guinea-Bissau,GNB
Guyana,"6,670","4,732",37,245,220,11,9,38,15,46,128,6,5,60,5,10,109,8,9,191,6,48,,,48.0,,4,3,10.0,,,,15.0,,11.0,,55.0,3.0,4.0,5.0,,6,11.0,,,,,,4.0,,32.0,Guyana,GUY
Haiti,"24,280","5,729",36,"9,407",211,138,15,41,15,"1,864",297,21,20,336,7,5,14,11,11,"1,491",19,276,,18,56.0,23,23,11,384.0,87,,,20.0,,19.0,6.0,23.0,14.0,12.0,24.0,14.0,4,168.0,,,,,,45.0,,,Haiti,HTI
Honduras,"6,404","1,020",542,"1,062",375,136,81,420,209,146,102,27,41,31,23,56,25,53,6,60,50,85,15,12,39.0,18,7,43,40.0,15,3,43,50.0,6,22.0,3.0,4.0,23.0,36.0,32.0,15.0,14,11.0,12,11,12,6,5,7.0,16,9.0,Honduras,HND
Hong Kong,"2,651",511,453,21,56,61,430,73,24,108,27,40,125,32,142,24,10,9,8,10,22,,39,7,13.0,13,6,11,8.0,4,39,3,8.0,,5.0,7.0,3.0,5.0,3.0,5.0,7.0,,5.0,8,,5,5,3,7.0,,11.0,Hong Kong,HKG
Hungary,"1,314",250,128,133,33,37,27,14,10,21,10,10,17,14,19,13,6,12,10,14,27,30,9,11,15.0,8,9,3,20.0,,,7,9.0,,6.0,5.0,8.0,14.0,6.0,,4.0,,10.0,4,3,11,,3,,,7.0,Hungary,HUN
Iceland,131,8,14,6,3,,3,,,4,13,6,,4,,,,,,9,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Iceland,ISL
