,Country,"New York-Newark-Jersey City, NY-NJ-PA","Los Angeles-Long Beach-Anaheim, CA","Miami-Fort Lauderdale-Pompano Beach, FL","Washington-Arlington-Alexandria, DC-VA-MD-WV","Houston-The Woodlands-Sugar Land, TX","Dallas-Fort Worth-Arlington, TX","San Francisco-Oakland-Berkeley, CA","Chicago-Naperville-Elgin, IL-IN-WI","Seattle-Tacoma-Bellevue, WA","Boston-Cambridge-Newton, MA-NH","San Jose-Sunnyvale-Santa Clara, CA","Atlanta-Sandy Springs-Alpharetta, GA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","Orlando-Kissimmee-Sanford, FL","San Diego-Chula Vista-Carlsbad, CA","Phoenix-Mesa-Chandler, AZ","Detroit-Warren-Dearborn, MI","Riverside-San Bernardino-Ontario, CA","Tampa-Saint Petersburg-Clearwater, FL","Minneapolis-Saint Paul-Bloomington, MN-WI","Austin-Round Rock-Georgetown, TX","Denver-Aurora-Lakewood, CO","Sacramento-Roseville-Folsom, CA","Las Vegas-Henderson-Paradise, NV","Charlotte-Concord-Gastonia, NC-SC","Baltimore-Columbia-Towson, MD","Portland-Vancouver-Hillsboro, OR-WA","San Antonio-New Braunfels, TX","Columbus, OH","Raleigh-Cary, NC","Indianapolis-Carmel-Anderson, IN","Nashville-Davidson--Murfreesboro--Franklin, TN","Bridgeport-Stamford-Norwalk, CT","Salt Lake City, UT","Cincinnati, OH-KY-IN","Providence-Warwick, RI-MA","El Paso, TX","Hartford-East Hartford-Middletown, CT","Saint Louis, MO-IL","Kansas City, MO-KS","Jacksonville, FL","Worcester, MA-CT","Louisville/Jefferson County, KY-IN","McAllen-Edinburg-Mission, TX","Stockton, CA","Cleveland-Elyria, OH","Trenton-Princeton, NJ","Milwaukee-Waukesha, WI","Oklahoma City, OK","Cape Coral-Fort Myers, FL"
52,Dominican Republic,12331.0,45.0,1291.0,294.0,107.0,100.0,13.0,90.0,28.0,1680.0,,224.0,907.0,607.0,17.0,64.0,49.0,18.0,242.0,36.0,15.0,22.0,7.0,27.0,148.0,81.0,8.0,27.0,62.0,71.0,41.0,24.0,186.0,24.0,55.0,573.0,,94.0,12.0,7.0,53.0,163.0,7.0,8.0,,32.0,110.0,24.0,9.0,54.0
53,Ecuador,3841.0,164.0,621.0,117.0,108.0,41.0,23.0,183.0,33.0,68.0,6.0,54.0,93.0,142.0,21.0,29.0,9.0,29.0,80.0,129.0,20.0,11.0,,24.0,127.0,36.0,7.0,16.0,16.0,12.0,8.0,19.0,163.0,26.0,12.0,24.0,,46.0,15.0,9.0,14.0,36.0,11.0,11.0,,8.0,59.0,5.0,6.0,39.0
54,Egypt,914.0,516.0,64.0,202.0,135.0,67.0,119.0,104.0,76.0,95.0,45.0,50.0,103.0,94.0,41.0,48.0,77.0,130.0,97.0,29.0,17.0,21.0,21.0,15.0,12.0,30.0,44.0,16.0,27.0,25.0,38.0,148.0,14.0,8.0,16.0,25.0,,11.0,12.0,6.0,19.0,29.0,8.0,,9.0,32.0,13.0,19.0,3.0,3.0
55,El Salvador,2591.0,2535.0,401.0,2970.0,1369.0,800.0,772.0,120.0,106.0,542.0,174.0,298.0,90.0,80.0,48.0,94.0,29.0,285.0,56.0,97.0,107.0,128.0,67.0,321.0,222.0,360.0,43.0,64.0,53.0,90.0,60.0,134.0,38.0,73.0,22.0,68.0,11.0,20.0,9.0,41.0,27.0,60.0,17.0,5.0,44.0,22.0,9.0,4.0,17.0,23.0
56,Equatorial Guinea,,,,,12.0,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Eritrea,,15.0,5.0,90.0,24.0,59.0,170.0,39.0,128.0,16.0,21.0,35.0,12.0,,12.0,19.0,4.0,,,31.0,13.0,60.0,10.0,30.0,26.0,10.0,15.0,15.0,66.0,,17.0,18.0,,11.0,12.0,,,,4.0,6.0,,4.0,10.0,,,,,,,
58,Estonia,14.0,9.0,10.0,3.0,6.0,4.0,,10.0,4.0,,6.0,,5.0,,,,,,6.0,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,
59,Eswatini,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Ethiopia,43.0,82.0,7.0,784.0,71.0,211.0,86.0,53.0,306.0,66.0,41.0,158.0,46.0,3.0,32.0,36.0,6.0,4.0,17.0,323.0,22.0,189.0,18.0,118.0,30.0,50.0,75.0,16.0,119.0,10.0,17.0,58.0,,4.0,25.0,3.0,,9.0,10.0,43.0,12.0,,15.0,,,8.0,,3.0,6.0,
61,Fiji,4.0,13.0,,,,,46.0,,38.0,,8.0,,,,,6.0,,8.0,,,,,123.0,6.0,,,21.0,,,,,,,,,,,,,,,,,,28.0,,,,,
62,Finland,25.0,16.0,20.0,11.0,9.0,7.0,20.0,10.0,18.0,12.0,27.0,4.0,4.0,5.0,,,3.0,,6.0,5.0,3.0,,,,,,8.0,,,7.0,,,,,,3.0,,,,,,,,,,,,4.0,,
63,French Polynesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Gabon,16.0,3.0,,16.0,9.0,6.0,,,,3.0,,7.0,,,,,,,,,,5.0,,,,4.0,,,,,,,,,3.0,,,,,,,,,,,,,,,
65,Gambia,188.0,9.0,3.0,38.0,4.0,22.0,,4.0,84.0,10.0,,64.0,6.0,,,,7.0,6.0,3.0,9.0,,4.0,,3.0,11.0,19.0,5.0,3.0,35.0,31.0,,3.0,,,3.0,14.0,,3.0,,5.0,,,15.0,,,,,,,
66,Georgia,713.0,72.0,14.0,32.0,3.0,6.0,14.0,18.0,3.0,5.0,19.0,11.0,112.0,10.0,4.0,3.0,7.0,,4.0,5.0,,9.0,3.0,,5.0,10.0,20.0,3.0,,,,,13.0,,10.0,,,,,,,,,,,7.0,3.0,,,3.0
67,Germany,447.0,255.0,144.0,143.0,75.0,75.0,166.0,118.0,104.0,125.0,103.0,76.0,61.0,52.0,73.0,56.0,85.0,24.0,49.0,30.0,44.0,32.0,18.0,31.0,39.0,17.0,29.0,24.0,6.0,15.0,9.0,19.0,21.0,23.0,24.0,9.0,11.0,19.0,11.0,19.0,24.0,3.0,14.0,3.0,4.0,8.0,11.0,10.0,8.0,44.0
