Country,Total,"New York-Newark-Jersey City, NY-NJ-PA","Los Angeles-Long Beach-Anaheim, CA","Miami-Fort Lauderdale-West Palm Beach, FL","Washington-Arlington-Alexandria, DC-VA-MD-WV","Chicago-Naperville-Elgin, IL-IN-WI","Houston-The Woodlands-Sugar Land, TX","San Francisco-Oakland-Hayward, CA","Dallas-Fort Worth-Arlington, TX","Boston-Cambridge-Newton, MA-NH","Atlanta-Sandy Springs-Roswell, GA","San Jose-Sunnyvale-Santa Clara, CA","Seattle-Tacoma-Bellevue, WA","San Diego-Carlsbad, CA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","Riverside-San Bernardino-Ontario, CA","Phoenix-Mesa-Scottsdale, AZ","Detroit-Warren-Dearborn, MI","Minneapolis-Saint Paul-Bloomington, MN-WI","Tampa-Saint Petersburg-Clearwater, FL","Orlando-Kissimmee-Sanford, FL","Las Vegas-Henderson-Paradise, NV","Sacramento--Roseville--Arden-Arcade, CA","Denver-Aurora-Lakewood, CO","Baltimore-Columbia-Towson, MD","Portland-Vancouver-Hillsboro, OR-WA","Austin-Round Rock, TX","Columbus, OH","Charlotte-Concord-Gastonia, NC-SC","San Antonio-New Braunfels, TX","El Paso, TX","Nashville-Davidson--Murfreesboro--Franklin, TN","Urban Honolulu, HI","Providence-Warwick, RI-MA","Salt Lake City, UT","Indianapolis-Carmel-Anderson, IN","Bridgeport-Stamford-Norwalk, CT","Raleigh, NC","Kansas City, MO-KS","Hartford-West Hartford-East Hartford, CT","Jacksonville, FL","Fresno, CA","Saint Louis, MO-IL","Cincinnati, OH-KY-IN","Stockton-Lodi, CA","Cleveland-Elyria, OH","Milwaukee-Waukesha-West Allis, WI","Louisville/Jefferson County, KY-IN","McAllen-Edinburg-Mission, TX","San Juan-Carolina-Caguas, PR","Worcester, MA-CT",NAME_LONG,ISO_A3
Equatorial Guinea,25,,,,7,,,,,,3,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Equatorial Guinea,GNQ
Eritrea,"2,220",39,48,7,273,46,83,120,113,37,91,32,167,26,24,5,29,3,55,,5,74,5,75,49.0,16,25,52.0,55.0,19,,15.0,,,11,21,7.0,29.0,5.0,,6.0,4,10.0,15.0,,3.0,13.0,8.0,,,,Eritrea,ERI
Estonia,189,40,9,7,8,10,,3,5,10,,7,3,,,,,,,4,11,,,,7.0,3,,,,,,,7,,,,,,,,,,,4.0,,,,,,,,Estonia,EST
Ethiopia,"11,394",160,257,22,"2,592",180,215,204,519,195,681,139,693,112,135,26,112,28,911,47,15,379,53,540,160.0,122,80,244.0,69.0,24,,117.0,,,45,52,13.0,61.0,99.0,12.0,59.0,11,53.0,40.0,,10.0,20.0,53.0,,,5.0,Ethiopia,ETH
Fiji,875,13,51,,5,,,171,4,,,12,64,,3,5,8,3,,,,,312,,,25,,,,,,,11,,,,,,,,,14,,,32,,,,,,,Fiji,FJI
Finland,407,31,29,30,8,13,24,24,11,11,9,57,19,16,4,,,,7,6,3,,,,,7,,4.0,,,,,,,,,,5.0,,,,,,,,,,,,,,Finland,FIN
French Polynesia,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,French Polynesia,PYF
Gabon,146,14,6,,21,3,20,,,,10,,,,6,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gabon,GAB
Gambia,"1,142",334,5,,45,6,3,,29,9,109,,139,,9,,,18,39,,,3,,3,10.0,8,,32.0,8.0,,,7.0,,20,,,4.0,35.0,8.0,3.0,,,,6.0,,3.0,,19.0,,,,Gambia,GMB
Georgia,"1,410",729,89,18,36,28,8,22,24,9,19,27,10,3,117,,,,8,6,4,4,4,6,11.0,14,,5.0,4.0,3,,,,4,7,,13.0,,,5.0,3.0,,,11.0,,3.0,,,,,,Georgia,GEO
Germany,"5,436",621,348,215,137,166,104,282,73,127,120,170,143,109,78,60,46,129,42,61,61,42,30,37,29.0,44,43,27.0,48.0,29,27,30.0,33,18,16,15,23.0,23.0,18.0,29.0,29.0,5,21.0,22.0,11,16.0,9.0,9.0,,6,12.0,Germany,DEU
Ghana,"6,186","1,664",68,17,764,203,90,35,153,82,334,5,43,16,198,35,28,26,98,23,19,13,6,89,124.0,15,19,280.0,47.0,8,9,52.0,3,27,13,17,20.0,18.0,23.0,83.0,16.0,,18.0,93.0,,12.0,7.0,10.0,,,222.0,Ghana,GHA
