Country,Total,"New York-Northern New Jersey-Long Island, NY-NJ-PA","Los Angeles-Long Beach-Santa Ana, CA","Miami-Fort Lauderdale-Pompano Beach, FL","Washington-Arlington-Alexandria, DC-VA-MD-WV","Chicago-Naperville-Joliet, IL-IN-WI","San Francisco-Oakland-Fremont, CA","Houston-Sugar Land-Baytown, TX","Dallas-Fort Worth-Arlington, TX","Boston-Cambridge-Quincy, MA-NH","Atlanta-Sandy Springs-Marietta, GA","San Diego-Carlsbad-San Marcos, CA","San Jose-Sunnyvale-Santa Clara, CA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","Seattle-Tacoma-Bellevue, WA","Riverside-San Bernardino-Ontario, CA","Detroit-Warren-Livonia, MI","Phoenix-Mesa-Scottsdale, AZ","Orlando-Kissimmee, FL","Minneapolis-St. Paul-Bloomington, MN-WI","Las Vegas-Paradise, NV","Tampa-St. Petersburg-Clearwater, FL","Denver-Aurora-Broomfield, CO","Baltimore-Towson, MD","Sacramento--Arden-Arcade--Roseville, CA","Portland-Vancouver-Beaverton, OR-WA","Austin-Round Rock, TX","Honolulu, HI","Providence-New Bedford-Fall River, RI-MA","San Antonio, TX","El Paso, TX","Bridgeport-Stamford-Norwalk, CT","Columbus, OH","Kansas City, MO-KS","Charlotte-Gastonia-Concord, NC-SC","Raleigh-Cary, NC","Nashville-Davidson--Murfreesboro--Franklin, TN","San Juan-Caguas-Guaynabo, PR","Salt Lake City, UT","Hartford-West Hartford-East Hartford, CT","Indianapolis-Carmel, IN","Saint Louis, MO-IL","Jacksonville, FL","Worcester, MA","Cleveland-Elyria-Mentor, OH","Oxnard-Thousand Oaks-Ventura, CA","Stockton, CA","Fresno, CA","Tucson, AZ","Cincinnati-Middletown, OH-KY-IN","Virginia Beach-Norfolk-Newport News, VA-NC",NAME,ISO_A3
New Caledonia,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New Caledonia,NCL
New Zealand,919,82.0,65.0,17.0,25.0,20.0,49.0,15.0,12.0,16.0,4.0,15.0,15.0,9.0,52.0,5.0,6.0,13.0,3.0,11.0,13.0,,20.0,17.0,10.0,10.0,7.0,21.0,4.0,3.0,,9.0,4.0,6.0,,7.0,,,12.0,4.0,,6.0,,,7.0,5.0,,,3.0,4.0,,New Zealand,NZL
Nicaragua,3565,197.0,397.0,1406.0,159.0,19.0,248.0,97.0,39.0,17.0,39.0,10.0,35.0,35.0,23.0,60.0,4.0,20.0,27.0,6.0,41.0,34.0,8.0,9.0,14.0,5.0,11.0,,,14.0,,5.0,4.0,,14.0,,4.0,16.0,5.0,6.0,6.0,3.0,15.0,,4.0,10.0,11.0,,,6.0,7.0,Nicaragua,NIC
Niger,96,14.0,,,11.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,3.0,,Niger,NER
Nigeria,13376,2127.0,467.0,153.0,1252.0,653.0,138.0,1281.0,861.0,350.0,876.0,58.0,37.0,397.0,56.0,175.0,142.0,86.0,46.0,278.0,45.0,82.0,55.0,663.0,66.0,48.0,91.0,4.0,106.0,62.0,6.0,25.0,85.0,76.0,61.0,136.0,81.0,,8.0,32.0,205.0,78.0,34.0,24.0,50.0,4.0,19.0,9.0,15.0,51.0,64.0,Nigeria,NGA
Oman,63,3.0,4.0,,8.0,6.0,3.0,3.0,5.0,,,,,3.0,,,,,,,,3.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oman,OMN
Pakistan,18258,4487.0,613.0,392.0,1450.0,1147.0,358.0,1356.0,777.0,228.0,369.0,74.0,154.0,440.0,172.0,171.0,278.0,70.0,112.0,101.0,46.0,71.0,61.0,433.0,313.0,30.0,149.0,,55.0,45.0,4.0,62.0,69.0,127.0,43.0,45.0,34.0,,53.0,181.0,66.0,81.0,18.0,52.0,41.0,23.0,244.0,38.0,13.0,33.0,26.0,Pakistan,PAK
Palau,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Palau,PLW
Panama,1536,268.0,56.0,189.0,65.0,17.0,27.0,38.0,31.0,22.0,59.0,14.0,3.0,21.0,13.0,9.0,9.0,14.0,45.0,13.0,13.0,36.0,6.0,9.0,8.0,,9.0,4.0,4.0,17.0,7.0,,4.0,4.0,9.0,10.0,5.0,10.0,,,3.0,3.0,14.0,5.0,3.0,8.0,,,4.0,3.0,19.0,Panama,PAN
Papua New Guinea,30,,,,6.0,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Papua New Guinea,PNG
