Country,Total,"New York-Northern New Jersey-Long Island, NY-NJ-PA","Los Angeles-Long Beach-Santa Ana, CA","Miami-Fort Lauderdale-Pompano Beach, FL","Washington-Arlington-Alexandria, DC-VA-MD-WV","Chicago-Joliet-Naperville, IL-IN-WI","Houston-Sugar Land-Baytown, TX","San Francisco-Oakland-Fremont, CA","Dallas-Fort Worth-Arlington, TX","Boston-Cambridge-Quincy, MA-NH","Atlanta-Sandy Springs-Marietta, GA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","Seattle-Tacoma-Bellevue, WA","San Jose-Sunnyvale-Santa Clara, CA","San Diego-Carlsbad-San Marcos, CA","Riverside-San Bernardino-Ontario, CA","Detroit-Warren-Livonia, MI","Phoenix-Mesa-Glendale, AZ","Minneapolis-St. Paul-Bloomington, MN-WI","Orlando-Kissimmee-Sanford, FL","Baltimore-Towson, MD","Las Vegas-Paradise, NV","Tampa-St. Petersburg-Clearwater, FL","Sacramento--Arden-Arcade--Roseville, CA","Denver-Aurora-Broomfield, CO","Austin-Round Rock-San Marcos, TX","Portland-Vancouver-Hillsboro, OR-WA","El Paso, TX","San Antonio-New Braunfels, TX","Charlotte-Gastonia-Rock Hill, NC-SC","Columbus, OH","Honolulu, HI","Bridgeport-Stamford-Norwalk, CT","Nashville-Davidson--Murfreesboro--Franklin, TN","Providence-New Bedford-Fall River, RI-MA","Indianapolis-Carmel, IN","Raleigh-Cary, NC","Kansas City, MO-KS","Salt Lake City, UT","Hartford-West Hartford-East Hartford, CT","McAllen-Edinburg-Mission, TX","St. Louis, MO-IL","Jacksonville, FL","Cleveland-Elyria-Mentor, OH","Fresno, CA","Worcester, MA","Oxnard-Thousand Oaks-Ventura, CA","Cincinnati-Middletown, OH-KY-IN","San Juan-Caguas-Guaynabo, PR","Milwaukee-Waukesha-West Allis, WI","Pittsburgh, PA",NAME_LONG,ISO_A3
Fiji,895,7,55,,6,6,5,150,5,,6,,67,21,7,28,,6,,,,8,3,240,,,46.0,,,,,7,,,,,,,,,,,,,,,4,,,,,Fiji,FJI
Finland,331,32,18,20,13,5,12,14,5,20,5,13,13,28,26,,,5,,,,,,,,4,4.0,,,,,,,,,4.0,,5.0,,,,,,,,,,,,,,Finland,FIN
Gabon,127,19,4,,12,3,8,,,5,5,7,,,,,3,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gabon,GAB
Gambia,"1,018",280,8,,67,,9,6,25,3,108,8,101,,,,21,6,20.0,,6.0,,3,,4,,9.0,,,11.0,24.0,,,,20.0,,37.0,13.0,,,,,,,,10.0,,6.0,,,5.0,Gambia,GMB
Georgia,"1,368",724,93,23,42,32,7,15,16,11,17,98,8,11,6,3,3,4,7.0,7,10.0,6,,10,6,,28.0,,,7.0,6.0,,15.0,,,,,,6.0,,,,,5.0,,,,10.0,,,,Georgia,GEO
Germany,"6,032",689,335,185,210,146,126,269,110,164,150,96,120,153,106,46,115,67,28.0,66,38.0,39,60,45,32,33,50.0,34,35,56.0,18.0,35,32.0,7.0,21.0,18.0,31.0,17.0,15.0,21.0,,37.0,22.0,23.0,7,8.0,25,48.0,,22.0,29.0,Germany,DEU
Ghana,"10,265","3,061",104,28,"1,376",299,124,54,257,154,478,361,56,10,26,59,47,37,148.0,41,241.0,16,33,13,189,33,18.0,10,12,71.0,426.0,,30.0,54.0,51.0,17.0,37.0,30.0,18.0,137.0,,26.0,21.0,23.0,4,379.0,,119.0,,12.0,13.0,Ghana,GHA
Greece,"1,361",322,64,42,40,77,33,39,17,102,12,59,9,16,15,8,22,10,,4,22.0,7,32,5,6,,3.0,,5,3.0,6.0,,24.0,,11.0,,,3.0,,13.0,,5.0,3.0,18.0,,15.0,,,,12.0,8.0,Greece,GRC
Grenada,687,518,,30,16,,10,,4,8,5,,6,,,,,,,3,5.0,,,,8,,,,,,,,4.0,,,,,,,5.0,,,,,,,,,,,,Grenada,GRD
Guatemala,"10,224",861,"2,181",454,498,364,231,607,186,382,177,80,57,59,144,309,9,133,43.0,25,50.0,136,50,29,63,38,105.0,6,45,11.0,7.0,4,102.0,46.0,230.0,18.0,21.0,32.0,25.0,16.0,9,9.0,12.0,9.0,13,30.0,49,33.0,5,7.0,7.0,Guatemala,GTM
Guinea,"1,518",771,,,130,10,13,,16,27,72,96,16,,,,13,7,15.0,,16.0,,3,,6,,,,,7.0,65.0,,,,8.0,22.0,5.0,4.0,,,,,3.0,,,,,,,3.0,6.0,Guinea,GIN
Guinea-Bissau,43,5,,,4,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,Guinea-Bissau,GNB
Guyana,"5,897","4,341",20,216,147,20,21,4,11,27,94,60,4,,4,10,7,4,90.0,149,23.0,8,44,,4,,,,,9.0,,,10.0,5.0,6.0,3.0,8.0,,,35.0,,,8.0,7.0,,6.0,,,,,,Guyana,GUY
Haiti,"20,351","4,964",21,"7,347",193,94,30,24,33,"1,601",246,375,18,10,10,7,16,16,31.0,"1,245",32.0,10,228,,23,11,8.0,,12,21.0,20.0,,267.0,19.0,115.0,19.0,15.0,27.0,7.0,42.0,,12.0,113.0,4.0,,45.0,3,6.0,4,3.0,10.0,Haiti,HTI
