Country,Total,"New York-Northern New Jersey-Long Island, NY-NJ-PA","Los Angeles-Long Beach-Santa Ana, CA","Miami-Fort Lauderdale-Pompano Beach, FL","Washington-Arlington-Alexandria, DC-VA-MD-WV","Chicago-Joliet-Naperville, IL-IN-WI","Houston-Sugar Land-Baytown, TX","San Francisco-Oakland-Fremont, CA","Dallas-Fort Worth-Arlington, TX","Boston-Cambridge-Quincy, MA-NH","Atlanta-Sandy Springs-Marietta, GA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","Seattle-Tacoma-Bellevue, WA","San Jose-Sunnyvale-Santa Clara, CA","San Diego-Carlsbad-San Marcos, CA","Riverside-San Bernardino-Ontario, CA","Detroit-Warren-Livonia, MI","Phoenix-Mesa-Glendale, AZ","Minneapolis-St. Paul-Bloomington, MN-WI","Orlando-Kissimmee-Sanford, FL","Baltimore-Towson, MD","Las Vegas-Paradise, NV","Tampa-St. Petersburg-Clearwater, FL","Sacramento--Arden-Arcade--Roseville, CA","Denver-Aurora-Broomfield, CO","Austin-Round Rock-San Marcos, TX","Portland-Vancouver-Hillsboro, OR-WA","El Paso, TX","San Antonio-New Braunfels, TX","Charlotte-Gastonia-Rock Hill, NC-SC","Columbus, OH","Honolulu, HI","Bridgeport-Stamford-Norwalk, CT","Nashville-Davidson--Murfreesboro--Franklin, TN","Providence-New Bedford-Fall River, RI-MA","Indianapolis-Carmel, IN","Raleigh-Cary, NC","Kansas City, MO-KS","Salt Lake City, UT","Hartford-West Hartford-East Hartford, CT","McAllen-Edinburg-Mission, TX","St. Louis, MO-IL","Jacksonville, FL","Cleveland-Elyria-Mentor, OH","Fresno, CA","Worcester, MA","Oxnard-Thousand Oaks-Ventura, CA","Cincinnati-Middletown, OH-KY-IN","San Juan-Caguas-Guaynabo, PR","Milwaukee-Waukesha-West Allis, WI","Pittsburgh, PA"
Guyana,"5,897","4,341",20,216,147,20,21,4,11,27,94,60,4,,4,10,7,4,90,149,23,8,44,,4,,,,,9,,,10,5,6,3,8,,,35,,,8,7,,6,,,,,
Haiti,"20,351","4,964",21,"7,347",193,94,30,24,33,"1,601",246,375,18,10,10,7,16,16,31,"1,245",32,10,228,,23,11,8,,12,21,20,,267,19,115,19,15,27,7,42,,12,113,4,,45,3,6,4,3,10
Honduras,"8,898","1,355",672,"1,344",463,177,632,111,232,155,168,70,65,43,38,90,12,43,35,105,77,69,101,21,27,89,21,14,86,82,13,,70,39,27,34,63,51,18,21,14,13,24,10,14,11,15,10,10,9,
Hong Kong,"2,226",384,397,17,62,54,44,339,29,65,16,40,133,122,18,19,11,15,7,10,18,17,8,28,,15,17,,,5,5,27,3,,,7,4,6,3,7,,4,,,,,,3,,4,
Hungary,"1,052",169,84,94,33,21,12,20,16,34,9,17,15,32,18,6,9,7,4,10,,36,37,6,3,9,,,5,3,4,6,13,6,3,,6,,4,,,3,10,11,,3,3,7,,,4
Iceland,139,23,22,4,5,,,6,10,3,,,6,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,"68,458","10,818","2,417",499,"2,677","4,120","2,348","3,514","2,905","1,524","2,036","2,415","2,066","3,317",622,485,"1,463",708,785,295,832,112,514,899,279,628,360,5,222,565,512,12,353,234,155,389,640,318,147,523,30,479,225,408,528,293,205,331,6,316,359
Indonesia,"2,731",275,438,26,100,45,89,163,49,58,60,115,133,60,42,180,20,32,20,9,25,19,14,28,51,16,24,,6,16,23,6,,,,13,6,8,3,,,7,3,6,4,,12,5,,15,11
Iran,"12,863",442,"3,492",150,881,262,589,555,503,231,355,119,355,570,445,128,76,168,66,72,119,119,59,239,86,115,130,6,127,40,49,3,18,66,32,21,72,35,74,18,,41,60,38,35,21,94,21,,28,41
Iraq,"9,552",86,393,25,299,420,350,42,302,94,113,75,171,51,"1,334",51,"1,948",431,20,43,48,67,49,79,90,135,77,9,108,16,110,,,190,10,38,48,60,103,8,,77,69,31,15,91,,,,62,23
Ireland,"1,626",344,77,36,49,60,23,114,21,175,17,26,74,31,27,6,6,25,12,19,9,4,13,3,6,42,10,,7,13,3,4,11,8,9,5,4,8,3,,,7,,3,,8,,5,,,5
Israel,"3,996","1,012",397,295,105,108,61,137,101,188,74,72,121,236,76,27,31,23,17,19,19,92,25,19,26,12,24,,7,12,23,6,15,13,,5,15,16,,13,,21,9,24,4,10,13,3,,10,13
Italy,"2,960",637,209,274,116,98,59,120,44,129,44,56,44,64,54,19,47,18,17,21,25,28,35,11,17,16,26,6,5,17,25,10,13,12,8,10,16,,7,8,,4,13,11,,12,7,16,7,5,23
Jamaica,"19,400","7,215",131,"3,760",626,157,147,23,103,307,700,533,13,7,21,28,49,51,25,479,254,38,215,7,12,16,23,10,24,57,32,5,345,23,58,24,31,18,13,455,,29,74,44,,27,5,14,,25,35
Japan,"5,925",749,"1,059",54,132,144,73,309,72,111,82,70,227,228,203,62,90,35,30,29,43,48,23,28,32,33,83,8,19,11,37,388,17,14,5,15,15,17,20,8,,17,13,13,,9,16,12,5,14,30
